const,IDL,Log_Personal,Log_Capital,Prop_Calificado,Edad_Empresa,Margen_ValAg,Apalancamiento,Pct_Capital_Ext,Pct_Servicios,tic4_4c,tic7_4,tic3_1,MacroSector_2.0,MacroSector_3.0,MacroSector_4.0,MacroSector_5.0,Region_2.0,Region_3.0,Region_4.0
1.0,-0.44708110856599914,3.295836866004329,10.746834486413789,0.15384615384615385,29,0.7739791004352266,0.39913266028035876,0.0,0.0026405141406602925,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.5389388110618414,2.772588722239781,12.321953725466784,0.13333333333333333,29,0.5801699284009546,0.9332447102214232,0.0,0.0,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.14249385762904804,3.1354942159291497,12.615070898663575,0.2727272727272727,31,0.8972608752908126,0.20178481001573526,0.0,0.0,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.6222692027531753,3.295836866004329,7.500869606992044,0.23076923076923078,33,0.722659876768984,13.198855903368493,0.0,0.0,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,5.914200771865216,0.6931471805599453,15.005376020025379,1.0,20,0.14238433989924124,0.7615213479549618,0.0,0.0,2.0,2.0,2.0,0,0,0,0,0,0,0
1.0,-0.6246576485716391,3.091042453358316,9.637849602067865,0.19047619047619047,19,0.6271704437625544,0.7994223602484472,0.0,0.0,2.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.739362718052786,2.6390573296152584,9.943085413495146,0.0,7,1.0,0.480185885562814,0.0,0.0,2.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.5509512713074493,5.389071729816501,9.968761683207202,0.08256880733944955,14,0.7444786027964718,0.3247485802679103,0.0,0.00193008509895288,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.2801612091928758,7.179307969504034,12.139424371315222,0.21052631578947367,75,0.6377059472420445,0.7223149973885122,0.0,0.07728429483800765,1.0,2.0,1.0,0,1,0,0,1,0,0
1.0,-0.1935075428698504,4.430816798843313,12.74480805796541,0.4939759036144578,55,0.6874064385366427,0.7989757406695362,0.0,0.21173882342278916,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.6261994145589078,6.236369590203704,10.623185875798566,0.23333333333333334,43,0.4854212619085705,0.4788590893008092,0.0,0.01841017782742396,1.0,2.0,1.0,0,0,0,0,0,0,0
1.0,-0.364197491319006,4.060443010546419,10.850788936312794,0.12280701754385964,59,0.29588756880014316,1.8419203539943423,0.0,0.0,1.0,2.0,2.0,0,0,0,0,0,0,0
1.0,0.02654255236094183,6.1070228877422545,11.107530611090606,0.43080357142857145,60,0.6663739744730428,4.133307377178299,0.0,0.002458289336828825,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.17705768095678504,4.812184355372417,10.251096317676831,0.11475409836065574,62,0.4669127043267816,1.3497219128504896,0.99,0.0,1.0,2.0,2.0,0,0,0,0,0,0,0
1.0,0.30210300385633704,6.748759547491679,11.342482555733383,0.004694835680751174,43,0.3085306907091289,1.3518635656957096,0.68,0.005790257004404823,1.0,2.0,2.0,0,0,0,0,0,0,0
1.0,1.4412046462133905,3.258096538021482,13.262752809822947,0.36,49,0.46367704103813095,0.19527602826418636,0.0,0.887343119088509,1.0,2.0,1.0,0,0,0,0,0,0,0
1.0,-0.26253006184952044,7.018401799069201,12.60460522473241,0.4157706093189964,54,0.5194195235406701,0.8906064588002077,0.0,0.0,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.20158422603086146,4.2626798770413155,11.71578723878556,0.1,50,0.5569098829364636,0.5657513914916427,0.0,0.0,1.0,2.0,1.0,0,0,0,0,0,0,0
1.0,-0.1669793767622501,6.523562306149512,12.15342786554182,0.175,48,0.3910487086008364,0.3793887077204816,0.0,0.00013811941976153987,1.0,2.0,1.0,0,0,0,0,0,0,0
1.0,0.03371846889677507,3.8501476017100584,11.858183219266019,0.43478260869565216,47,0.6373056473976692,0.6249387773824026,0.0,0.0018785921586462868,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.3898201782284998,5.802118375377063,11.2945653411667,0.10606060606060606,46,0.22067944240179851,0.690875587224808,0.0,0.006706443967126874,1.0,2.0,1.0,0,0,0,0,0,0,0
1.0,-0.22079986159492326,7.3901814282264295,11.947350432519304,0.14700432365657815,52,0.25106160745762696,0.6929265211813924,0.0,0.008576185846995769,1.0,1.0,1.0,0,0,0,0,0,0,0
1.0,-0.3379850681531893,5.476463551931511,11.423688281924269,0.22268907563025211,46,0.6729938036353201,0.5633909583381015,0.0,0.1165283877437009,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.35010668691202934,5.796057750765372,12.350220792183558,0.10365853658536585,45,0.29970017790002573,0.17706122321205178,0.08,0.002773837989701214,1.0,2.0,2.0,0,0,0,0,0,0,0
1.0,-0.30068704054458123,4.394449154672439,11.727620225555452,0.5625,45,0.5259817714889006,0.2671335853489405,0.0,0.0013341120912901223,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.390424085591748,5.529429087511423,12.15059821725558,0.09561752988047809,43,0.2815153640220321,0.6226011258146241,0.0,0.0,1.0,1.0,2.0,0,0,0,0,0,0,0
1.0,-0.2046647322378893,4.605170185988092,12.201875364408396,0.010101010101010102,43,0.5021681577074332,0.11802762381986806,0.0,0.9254891867145639,1.0,1.0,2.0,0,0,0,1,0,0,0
1.0,-0.4283898718909823,8.21554741194707,11.831184808298065,0.08655666756829862,44,0.695792129507458,0.6877584195805422,0.0,0.0009167993275017538,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.29841428521212243,6.214608098422191,10.807014609030457,0.04609218436873747,44,0.18165423745265738,0.5271715004596869,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0
1.0,-0.34477133880589184,4.143134726391533,11.993069941094186,0.6774193548387096,44,0.8588881092049182,0.46140068996782474,0.0,0.22468555993249226,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.2388954013917174,4.477336814478207,11.975431155370261,0.27586206896551724,43,0.6352514695662133,0.39640662678420824,0.0,0.014103459358752875,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,-0.17982867155824908,3.828641396489095,12.310785651598906,0.24444444444444444,42,0.6350821489460725,0.6203604509419239,0.0,0.02408830625713142,1.0,2.0,2.0,0,1,0,0,0,0,0
1.0,0.36321192582635153,4.9344739331306915,12.282047894975165,0.2318840579710145,41,0.26841668695713644,0.44367864564800663,0.24,0.002957127801904499,1.0,2.0,2.0,0,0,0,0,0,0,0
1.0,-0.5838711644879127,5.135798437050262,11.865595809477478,0.01775147928994083,41,0.6347436801158888,0.7275089505830007,0.0,0.0,1.0,2.0,1.0,0,1,0,0,0,0,0
1.0,-0.2573440973182761,4.59511985013459,11.449499467605667,0.07142857142857142,39,0.3197019713061831,0.5981485010974024,0.0,0.0,1.0,2.0,1.0,0,0,0,0,0,0,0
